Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-18 00:00:00+00:00,86172.1640625,86206.5078125,86172.1640625,86196.7890625,0
2025-12-18 00:05:00+00:00,86089.8671875,86165.15625,86089.8671875,86159.2890625,0
2025-12-18 00:10:00+00:00,86157.0390625,86157.0390625,86099.0703125,86101.7578125,202940416
2025-12-18 00:15:00+00:00,86142.078125,86182.265625,86142.078125,86144.9140625,0
2025-12-18 00:20:00+00:00,86113.9765625,86120.5390625,86039.640625,86111.2890625,0
2025-12-18 00:25:00+00:00,86105.96875,86125.1171875,86105.96875,86106.265625,0
2025-12-18 00:30:00+00:00,86227.828125,86227.828125,86204.21875,86214.5703125,0
2025-12-18 00:35:00+00:00,86253.9765625,86272.6484375,86213.671875,86272.6484375,0
2025-12-18 00:40:00+00:00,86155.0859375,86258.4140625,86138.375,86258.4140625,0
2025-12-18 00:45:00+00:00,86160.40625,86160.40625,86123.1015625,86132.6875,377483264
2025-12-18 00:50:00+00:00,86237.6171875,86237.6171875,86205.6484375,86209.6015625,2744320
2025-12-18 00:55:00+00:00,86203.75,86233.8125,86201.15625,86233.8125,0
2025-12-18 01:00:00+00:00,86097.0625,86202.46875,86097.0625,86202.46875,0
2025-12-18 01:05:00+00:00,85901.28125,86064.359375,85901.28125,86064.359375,0
2025-12-18 01:10:00+00:00,85926.78125,85933.0234375,85848.5,85871.4296875,0
2025-12-18 01:15:00+00:00,85893.65625,85989.6171875,85893.65625,85941.25,534528000
2025-12-18 01:20:00+00:00,86012.234375,86018.2890625,85908.8828125,85908.8828125,0
2025-12-18 01:25:00+00:00,85995.5625,86008.515625,85975.046875,86008.515625,0
2025-12-18 01:30:00+00:00,85986.203125,85986.203125,85966.1796875,85977.890625,0
2025-12-18 01:35:00+00:00,86066.5703125,86097.0078125,85965.84375,85999.421875,7114752
2025-12-18 01:40:00+00:00,86098.984375,86107.1953125,85994.96875,85994.96875,0
2025-12-18 01:45:00+00:00,86149.640625,86149.640625,86092.0703125,86110.6171875,40185856
2025-12-18 01:50:00+00:00,86085.0625,86147.6796875,86008.921875,86146.6953125,0
2025-12-18 01:55:00+00:00,86097.6953125,86097.6953125,86044.9921875,86044.9921875,368754688
2025-12-18 02:00:00+00:00,86037.40625,86095.859375,86037.40625,86095.859375,0
2025-12-18 02:05:00+00:00,86205.4453125,86205.4453125,86075.875,86075.875,194080768
2025-12-18 02:10:00+00:00,86488.46875,86488.46875,86183.4765625,86183.4765625,34918400
