Price,Close,High,Low,Open,Volume
Ticker,INTC,INTC,INTC,INTC,INTC
Date,,,,,
2010-01-04,13.519426345825195,13.616549653410942,13.422304273213605,13.461154090237567,47800900
2010-01-05,13.512951850891113,13.590649010618527,13.3381313890433,13.558275399894454,52357700
2010-01-06,13.467622756958008,13.551796093861698,13.38345065502801,13.4740977240255,40037400
2010-01-07,13.338129043579102,13.441726061647866,13.16978358047389,13.422301157644771,54041500
2010-01-08,13.487049102783203,13.525897674375598,13.208631663927749,13.299279977608437,48234700
2010-01-11,13.56474781036377,13.694243463807851,13.480574462399955,13.668344827108577,51086400
2010-01-12,13.344605445861816,13.532374598177729,13.195683635779675,13.512950927060842,69958400
2010-01-13,13.571227073669434,13.64892548537756,13.234537249532497,13.415831485227534,71446700
2010-01-14,13.907915115356445,13.953238664446928,13.62949761668738,13.66834743159987,150821600
2010-01-15,13.467622756958008,13.856112136191616,13.448199090729227,13.849637169124126,198078600
2010-01-19,13.629500389099121,13.707198799754845,13.5000046846387,13.532378302010219,82573500
2010-01-20,13.64892578125,13.68777437045902,13.500005160136771,13.590652279949278,65670100
2010-01-21,13.493528366088867,13.797844537890985,13.38993131888073,13.69424749068285,73633300
2010-01-22,12.89136791229248,13.461152825362603,12.82661945831078,13.448202887571455,116302400
2010-01-25,13.15683364868164,13.325179111840717,13.04028669457352,13.105035139630685,73785600
2010-01-26,12.949644088745117,13.195686783042584,12.917270472512975,13.066191083139712,65298900
2010-01-27,13.105036735534668,13.163310219685151,12.833094221157088,12.949641189458054,74926200
2010-01-28,12.897841453552246,13.20215754811586,12.742445922181004,13.143884069479906,76974600
2010-01-29,12.561151504516602,13.098561555826635,12.496403052617104,13.033813103927136,96053900
2010-02-01,12.697127342224121,12.787774462207459,12.587055310112474,12.606478987266396,50338300
2010-02-02,12.89136791229248,12.975541272960905,12.664748940843548,12.742447332616397,63332500
2010-02-03,12.84437370300293,12.974905207146545,12.707314192071696,12.909640077501013,45582300
2010-02-04,12.413619041442871,12.779109044929315,12.367932946613656,12.77258228211761,90931100
2010-02-05,12.707319259643555,12.779112424707213,12.400568795481377,12.465835196007152,88711700
2010-02-08,12.628997802734375,12.91616915509967,12.596363987208333,12.713843233396535,62563200
2010-02-09,12.824793815612793,12.981432372362798,12.687735545276261,12.818267053474969,69454100
2010-02-10,12.850906372070312,12.968385651197654,12.694267748184899,12.785639967571443,56250600
2010-02-11,13.092385292053223,13.183758720292081,12.75952788062145,12.81174073467824,58837300
2010-02-12,13.333871841430664,13.497037182133727,12.916168967583708,13.027120204203143,91108900
2010-02-16,13.523140907287598,13.607987568507664,13.412188442897747,13.457875776936858,69083400
2010-02-17,13.483986854553223,13.61451965601953,13.399141404997259,13.61451965601953,47296700
2010-02-18,13.60146427154541,13.607991035213724,13.412191859722956,13.470931487884899,42613600
2010-02-19,13.58841323852539,13.686312221814868,13.431774616291603,13.523146834714701,40760000
2010-02-22,13.621044158935547,13.679782540504085,13.477457852193114,13.673257021882018,38730600
2010-02-23,13.30776596069336,13.67325725233151,13.242500814549924,13.60146409775029,62245300
2010-02-24,13.510092735290527,13.58188464947209,13.379559945201045,13.392613473180583,51070100
2010-02-25,13.464405059814453,13.48398535130743,13.196813967008339,13.294714179620309,48789400
2010-02-26,13.399141311645508,13.497040289636649,13.333874911367063,13.444827418384504,47795300
2010-03-01,13.621044158935547,13.666730258407103,13.457878806621215,13.497038142617857,51203300
2010-03-02,13.510092735290527,13.764630306626774,13.43177281226625,13.699363911582035,59399000
2010-03-03,13.392613410949707,13.588411350321179,13.34040054412712,13.549252011417472,49909900
2010-03-04,13.399141311645508,13.451354182897653,13.222922404349623,13.444827418384504,62750100
2010-03-05,13.568832397460938,13.601464972631666,13.346927400711724,13.483985710252325,45879700
2010-03-08,13.555781364440918,13.627573292000669,13.510095252852027,13.581887180411778,35742100
2010-03-09,13.666730880737305,13.836423004253675,13.483985229676698,13.497038757220935,83168700
2010-03-10,13.8298978805542,13.895164281162353,13.647152207821982,13.673259266006463,58435600
2010-03-11,13.869056701660156,13.882110230261732,13.699364564398659,13.797263539204483,53778700
2010-03-12,13.88210678100586,13.947373162944151,13.823367161746665,13.908212586869558,39584500
2010-03-15,13.816843032836914,13.914742001979526,13.738523110611064,13.810316268913681,34378000
2010-03-16,14.365078926086426,14.384659218090876,13.83642349049576,13.856002537647262,123060900
2010-03-17,14.515192031860352,14.586985197296816,14.29981378040402,14.397712759274524,77805900
2010-03-18,14.48908519744873,14.586984169420756,14.365079169029249,14.482558433336866,54458500
2010-03-19,14.352025032043457,14.613089361179755,14.234545772718894,14.52171715719528,77998500
2010-03-22,14.515192031860352,14.554351374437942,14.254127673254656,14.27370796696998,47405700
2010-03-23,14.79583740234375,14.848050276599205,14.593512670210503,14.6130917200231,64740900
2010-03-24,14.63919734954834,14.795835957013471,14.56740418764028,14.704463747205393,54729000
2010-03-25,14.586983680725098,14.834994484402191,14.560876625152286,14.808888673682304,52428700
2010-03-26,14.515192031860352,14.743623812460234,14.404239523846298,14.639198069017954,45700500
2010-03-29,14.573929786682129,14.678355516643212,14.528243685430766,14.632669415391849,34467900
2010-03-30,14.580453872680664,14.710986633585854,14.476028161897581,14.619613203011154,37886300
2010-03-31,14.547821998596191,14.68488028371489,14.489082377873114,14.567401042268733,45983800
2010-04-01,14.613090515136719,14.776255889338255,14.48908572703772,14.61961727948714,45491000
2010-04-05,14.74361801147461,14.782777338644674,14.58045269593802,14.67182487428569,34942900
2010-04-06,14.619619369506836,14.671832246921557,14.528247145244373,14.639199665357303,47056500
2010-04-07,14.652251243591309,14.802363090550392,14.521718445020698,14.639197714763641,62539800
2010-04-08,14.560871124267578,14.626137493690003,14.462972192560171,14.606557209407539,40824500
2010-04-09,14.717512130737305,14.73056565578015,14.593507377388256,14.619613182621285,45528700
2010-04-12,14.710992813110352,14.834997618722015,14.64572640524184,14.808891802486524,49353000
2010-04-13,14.861105918884277,14.893738503112743,14.6653066789536,14.782785973941348,122395600
2010-04-14,15.350592613220215,15.461545073450432,15.187427303755339,15.383225177172182,159980600
2010-04-15,15.807454109191895,15.905354286890585,15.533336350310996,15.552916634821228,110819600
2010-04-16,15.611662864685059,15.768301472642742,15.513763890318131,15.703035074780457,102974900
2010-04-19,15.663874626159668,15.689981681399331,15.363650960021005,15.605134996723336,71310800
2010-04-20,15.74220085144043,15.82704632524231,15.598614479824832,15.794413737976988,65991400
2010-04-21,15.533347129821777,15.748725429488225,15.363656192384374,15.729146376243396,73899300
2010-04-22,15.65735149383545,15.703037606248152,15.220068175973129,15.370180043858637,73666100
2010-04-23,15.689983367919922,15.703035652089836,15.48765740262319,15.63124373216965,56963700
2010-04-26,15.546396255493164,15.74872096574825,15.539869491310359,15.716088389687197,57727600
2010-04-27,15.239642143249512,15.585551847784389,15.207008330183129,15.487652898290605,78937600
2010-04-28,15.180904388427734,15.311435922161309,14.952472648327937,15.278803349941123,109052100
2010-04-29,15.33102035522461,15.344073885581201,15.207014306543314,15.226594602078205,59059400
2010-04-30,14.906794548034668,15.311444138046161,14.88721424728437,15.3049186159829,81864000
2010-05-03,15.180904388427734,15.298383640184936,14.945945884913334,14.99815874737733,55449900
2010-05-04,14.724042892456055,14.978581720516194,14.619617153455536,14.965528191927879,90704300
2010-05-05,14.571558952331543,14.709583942354026,14.394097176331515,14.525550622324047,96854100
2010-05-06,14.137763023376465,14.709582577011906,13.079566516893903,14.558412005695214,160695900
